,Sample,ClassId,EN
0,signer0_sample1,41,ugly
1,signer0_sample2,104,radiator
2,signer0_sample3,205,tax
3,signer0_sample4,26,feast
4,signer0_sample5,191,ceiling
5,signer0_sample6,140,oven
6,signer0_sample7,139,grandmother
7,signer0_sample8,225,difficult
8,signer0_sample9,102,breakfast
9,signer0_sample10,19,same
10,signer0_sample11,160,thursday
11,signer0_sample12,143,teacher
12,signer0_sample13,215,bed
13,signer0_sample14,130,be_pleased
14,signer0_sample15,166,soap
15,signer0_sample16,5,tree
16,signer0_sample17,28,single
17,signer0_sample18,162,police
18,signer0_sample19,202,far
19,signer0_sample20,76,see
20,signer0_sample21,66,married
21,signer0_sample22,147,allright
22,signer0_sample23,183,say
23,signer0_sample24,201,flour
24,signer0_sample25,1,hurry
25,signer0_sample26,145,olympiad
26,signer0_sample27,127,tongs
27,signer0_sample28,177,free
28,signer0_sample29,5,tree
29,signer0_sample30,8,family
30,signer0_sample31,205,tax
31,signer0_sample32,150,fasting
32,signer0_sample33,53,full
33,signer0_sample34,116,female
34,signer0_sample35,71,past
35,signer0_sample36,224,time
36,signer0_sample37,118,cologne
37,signer0_sample38,97,not_interested
38,signer0_sample39,63,meal
39,signer0_sample40,59,glove
40,signer0_sample41,47,minute
41,signer0_sample42,134,manager
42,signer0_sample43,89,gift
43,signer0_sample44,154,money
44,signer0_sample45,106,sibling
45,signer0_sample46,2,hungry
46,signer0_sample47,73,bring
47,signer0_sample48,122,bad
48,signer0_sample49,173,hi
49,signer0_sample50,139,grandmother
50,signer0_sample51,189,holiday
51,signer0_sample52,100,good
52,signer0_sample53,212,tomorrow
53,signer0_sample54,85,towel
54,signer0_sample55,200,toilet
55,signer0_sample56,25,flag
56,signer0_sample57,197,screwdriver
57,signer0_sample58,24,glass
58,signer0_sample59,16,ataturk
59,signer0_sample60,133,guest
60,signer0_sample61,6,heavy
61,signer0_sample62,49,change
62,signer0_sample63,170,hat
63,signer0_sample64,206,near
64,signer0_sample65,115,mince
65,signer0_sample66,178,voice
66,signer0_sample67,160,thursday
67,signer0_sample68,208,wrong
68,signer0_sample69,33,inform
69,signer0_sample70,11,kin
70,signer0_sample71,94,drink
71,signer0_sample72,19,same
72,signer0_sample73,11,kin
73,signer0_sample74,209,do
74,signer0_sample75,146,nope
75,signer0_sample76,80,right
76,signer0_sample77,56,enemy
77,signer0_sample78,131,napkin
78,signer0_sample79,75,shirt
79,signer0_sample80,149,forest
80,signer0_sample81,144,school
81,signer0_sample82,134,manager
82,signer0_sample83,3,enjoy_your_meal
83,signer0_sample84,222,tired
84,signer0_sample85,23,honey
85,signer0_sample86,213,forbidden
86,signer0_sample87,185,milk
87,signer0_sample88,175,you
88,signer0_sample89,116,female
89,signer0_sample90,224,time
90,signer0_sample91,52,doctor
91,signer0_sample92,130,be_pleased
92,signer0_sample93,62,male
93,signer0_sample94,13,key
94,signer0_sample95,221,road
95,signer0_sample96,35,work
96,signer0_sample97,114,book
97,signer0_sample98,87,congratulations
98,signer0_sample99,163,psychology
99,signer0_sample100,8,family
100,signer0_sample101,207,alone
101,signer0_sample102,144,school
102,signer0_sample103,225,difficult
103,signer0_sample104,58,pharmacy
104,signer0_sample105,222,tired
105,signer0_sample106,103,pencil
106,signer0_sample107,94,drink
107,signer0_sample108,159,window
108,signer0_sample109,1,hurry
109,signer0_sample110,152,cotton
110,signer0_sample111,35,work
111,signer0_sample112,181,border
112,signer0_sample113,18,mirror
113,signer0_sample114,132,stairs
114,signer0_sample115,204,existing
115,signer0_sample116,190,sweet
116,signer0_sample117,213,forbidden
117,signer0_sample118,141,room
118,signer0_sample119,186,okay
119,signer0_sample120,214,pillow
120,signer0_sample121,97,not_interested
121,signer0_sample122,101,escape
122,signer0_sample123,27,baby
123,signer0_sample124,119,coal
124,signer0_sample125,144,school
125,signer0_sample126,217,eat
126,signer0_sample127,136,how
127,signer0_sample128,50,topple
128,signer0_sample129,71,past
129,signer0_sample130,2,hungry
130,signer0_sample131,161,picnic
131,signer0_sample132,222,tired
132,signer0_sample133,135,tap
133,signer0_sample134,193,telephone
134,signer0_sample135,69,photograph
135,signer0_sample136,19,same
136,signer0_sample137,83,hospital
137,signer0_sample138,173,hi
138,signer0_sample139,169,champion
139,signer0_sample140,124,stain
140,signer0_sample141,55,yesterday
141,signer0_sample142,171,war
142,signer0_sample143,79,lightweight
143,signer0_sample144,58,pharmacy
144,signer0_sample145,98,light
145,signer0_sample146,102,breakfast
146,signer0_sample147,57,wall
147,signer0_sample148,107,crossroads
148,signer0_sample149,68,elephant
149,signer0_sample150,38,tea
150,signer0_sample151,215,bed
151,signer0_sample152,61,retired
152,signer0_sample153,168,tuesday
153,signer0_sample154,190,sweet
154,signer0_sample155,215,bed
155,signer0_sample156,217,eat
156,signer0_sample157,42,child
157,signer0_sample158,136,how
158,signer0_sample159,105,door
159,signer0_sample160,116,female
160,signer0_sample161,116,female
161,signer0_sample162,47,minute
162,signer0_sample163,195,tailor
163,signer0_sample164,46,wallet
164,signer0_sample165,161,picnic
165,signer0_sample166,161,picnic
166,signer0_sample167,178,voice
167,signer0_sample168,109,belt
168,signer0_sample169,34,we
169,signer0_sample170,220,absent
170,signer0_sample171,14,mother
171,signer0_sample172,23,honey
172,signer0_sample173,202,far
173,signer0_sample174,98,light
174,signer0_sample175,207,alone
175,signer0_sample176,223,egg
176,signer0_sample177,50,topple
177,signer0_sample178,130,be_pleased
178,signer0_sample179,157,sunday
179,signer0_sample180,152,cotton
180,signer0_sample181,62,male
181,signer0_sample182,115,mince
182,signer0_sample183,122,bad
183,signer0_sample184,25,flag
184,signer0_sample185,59,glove
185,signer0_sample186,189,holiday
186,signer0_sample187,214,pillow
187,signer0_sample188,123,lap
